Sample_Name,Source_File,Site,Height_Above_Bottom_Low_m,Height_Above_Bottom_High_m,Depth_Below_Ground_Shallow_m,Depth_Below_Ground_Deep_m,Recovered_Mass_g,Gravel_percent,Sand_percent,Passing_No200_percent,Pan_Mass_Percent,D10_mm,D20_mm,D25_mm,D30_mm,D50_mm,D60_mm,D75_mm,Cu,Cc,S0_Trask
Sample_8-1-2,Sample_8-1-2.csv,8,1.0,2.0,8.0,9.0,499.23999999999995,0.0,73.60788398365517,26.39211601634483,26.392116016344847,0.03128188251020527,0.0528949282909344,0.0687819697438808,0.1035394129224531,0.31749485741578476,0.4745548203261397,0.7608442926190249,15.170276922155274,0.7221578336503861,3.3259107372730083
Sample_8-3-4,Sample_8-3-4.csv,8,3.0,4.0,6.0,7.0,499.26000000000005,0.0,74.96695108760966,25.033048912390342,25.033048912390335,0.0321867988851142,0.055999460674096696,0.07386468895821988,0.10774954417722545,0.35595206916518907,0.553701258289636,0.8498959760004905,17.202743903361966,0.6514447468722928,3.392067218479428
Sample_8-5-6,Sample_8-5-6.csv,8,5.0,6.0,4.0,5.0,499.53999999999996,0.0,59.73095247627819,40.26904752372181,40.269047523721824,0.026102439515690773,0.036829045874070016,0.043746685365574016,0.05196367255937914,0.16469763230562195,0.3147385910493665,0.6201105791587604,12.057822827639155,0.32867644467057333,3.76497410866094
Sample_8-7-8,Sample_8-7-8.csv,8,7.0,8.0,2.0,3.0,504.91999999999996,0.0,56.63471441020359,43.36528558979641,43.36528558979641,0.025468670716268505,0.0350623344893899,0.04113941422353096,0.048269786575888395,0.11414571602016282,0.19111105899429706,0.3989150183223584,7.503770460710458,0.47869474474377227,3.1139464633398117
Sample_8-9-10,Sample_8-9-10.csv,8,9.0,10.0,0.0,1.0,499.14,0.0,77.06455102776775,22.93544897223225,22.93544897223224,0.03385896443008452,0.06196916066366103,0.09353874092163568,0.1379961459717594,0.4130013348153523,0.5965045235309657,0.9015619725116657,17.617329223482002,0.9428584597902854,3.1045741185273097
