Sieve,Sample_Mass(g),Size_mm,Is_Pan,Percent_Retained,Cumulative_Retained_g,Cumulative_Percent_Retained,Percent_Passing
#4,7.74,4.76,False,1.3082279764721791,7.74,1.3082279764721791,98.69177202352782
#10,2.2,2.0,False,0.37184774525049025,9.940000000000001,1.6800757217226694,98.31992427827733
#20,4.46,0.84,False,0.7538367926441756,14.400000000000002,2.433912514366845,97.56608748563316
#30,109.86,0.59,False,18.568724224190387,124.26,21.002636738557232,78.99736326144277
#40,84.16,0.42,False,14.224866472855116,208.42000000000002,35.22750321141235,64.77249678858766
#50,69.72,0.297,False,11.784193090392806,278.14,47.01169630180515,52.98830369819485
#60,22.84,0.25,False,3.860455682509634,300.97999999999996,50.87215198431478,49.12784801568522
#80,54.18,0.177,False,9.157595835305253,355.15999999999997,60.029747819620034,39.970252180379966
#100,26.28,0.149,False,4.4418903387194915,381.43999999999994,64.47163815833953,35.52836184166047
#200,56.12,0.074,False,9.48549793793523,437.55999999999995,73.95713609627477,26.042863903725234
Pan,154.08,,True,26.04286390372524,591.64,100.0,0.0
