Sieve,Sample_Mass(g),Size_mm,Is_Pan,Percent_Retained,Cumulative_Retained_g,Cumulative_Percent_Retained,Percent_Passing
#4,11.76,4.76,False,0.9576391263985928,11.76,0.9576391263985928,99.04236087360141
#10,78.06,2.0,False,6.35657399716617,89.82000000000001,7.3142131235647625,92.68578687643523
#20,355.56,0.84,False,28.953925831826844,445.38,36.268138955391606,63.731861044608394
#30,157.26,0.59,False,12.805980358626082,602.64,49.074119314017686,50.925880685982314
#40,99.0,0.42,False,8.06175795182489,701.64,57.13587726584257,42.86412273415743
#50,83.7,0.297,False,6.815849904724679,785.34,63.95172717056725,36.04827282943275
#60,30.28,0.25,False,2.46575788667937,815.62,66.41748505724662,33.58251494275338
#80,76.26,0.177,False,6.209996579860264,891.88,72.62748163710688,27.372518362893118
#100,66.5,0.149,False,5.4152212504682335,958.38,78.04270288757512,21.957297112424882
#200,94.4,0.074,False,7.687171218709793,1052.78,85.72987410628491,14.27012589371509
Pan,175.24,,True,14.270125893715086,1228.02,100.0,0.0
