Sample_Name,Source_File,Site,Height_Above_Bottom_Low_m,Height_Above_Bottom_High_m,Depth_Below_Ground_Shallow_m,Depth_Below_Ground_Deep_m,Recovered_Mass_g,Gravel_percent,Sand_percent,Passing_No200_percent,Pan_Mass_Percent,D10_mm,D20_mm,D25_mm,D30_mm,D50_mm,D60_mm,D75_mm,Cu,Cc,S0_Trask
Sample_4_1-2,Sample_4_1-2.csv,1,2.0,2.0,8.0,8.0,529.38,0.0,66.38331633231327,33.61668366768673,33.61668366768673,0.02794263268924818,0.04220490387060764,0.05186933883338847,0.06374681765088747,0.24368209924221643,0.39520224131995313,0.6409262075282119,14.143343102814352,0.36798515328841086,3.5151888260116
Sample_4_3-4,Sample_4_3-4.csv,3,4.0,4.0,6.0,6.0,555.4,0.0,71.06229744328412,28.937702556715877,28.93770255671588,0.029869335475254104,0.04822579468828505,0.0612782436373462,0.08662341889299446,0.3392847048598268,0.5163854065707946,0.7835470470340539,17.28814512792242,0.4864868666312751,3.5758507567645315
Sample_4_5-6,Sample_4_5-6.csv,5,6.0,6.0,4.0,4.0,519.86,0.0,60.370099642211365,39.629900357788635,39.629900357788635,0.026247767509586958,0.03724028644526102,0.04435814068109946,0.05283645300570994,0.1746616038594331,0.3252293604863975,0.6143462434740504,12.390743722017804,0.32702819273101486,3.7215163946076353
Sample_4_7-8,Sample_4_7-8.csv,7,8.0,8.0,2.0,2.0,599.22,0.0,69.91755949400888,30.082440505991116,30.08244050599112,0.029329753513329202,0.04649915898122415,0.05854818553087362,0.07371939845926553,0.36823298986707376,0.6120790928008973,0.9936597163108454,20.86887953295386,0.3027245254673325,4.11966708474428
