Sieve,Sample_Mass(g),Size_mm,Is_Pan,Percent_Retained,Cumulative_Retained_g,Cumulative_Percent_Retained,Percent_Passing
#4,5.74,4.76,False,1.1498858127328817,5.74,1.1498858127328817,98.85011418726712
#10,61.82,2.0,False,12.384310268840897,67.56,13.534196081573779,86.46580391842622
#20,93.14,0.84,False,18.658600104170837,160.7,32.19279618574461,67.80720381425539
#30,46.28,0.59,False,9.271204775832365,206.98,41.46400096157698,58.53599903842302
#40,31.96,0.42,False,6.402500100164269,238.94,47.866501061741246,52.133498938258754
#50,27.82,0.297,False,5.573139949517207,266.76,53.43964101125845,46.56035898874155
#60,10.1,0.25,False,2.0233182419167433,276.86,55.46295925317519,44.53704074682481
#80,21.04,0.177,False,4.214912456428542,297.90000000000003,59.677871709603735,40.322128290396265
#100,11.04,0.149,False,2.211627068392163,308.94000000000005,61.8894987779959,38.1105012220041
#200,26.58,0.074,False,5.324732561400697,335.52000000000004,67.21423133939659,32.78576866060341
Pan,163.66,,True,32.78576866060339,499.18000000000006,99.99999999999997,2.842170943040401e-14
