Sieve,Sample_Mass(g),Size_mm,Is_Pan,Percent_Retained,Cumulative_Retained_g,Cumulative_Percent_Retained,Percent_Passing
#4,0.3,4.76,False,0.06005525083076431,0.3,0.06005525083076431,99.93994474916924
#10,37.92,2.0,False,7.590983705008608,38.22,7.651038955839373,92.34896104416063
#20,69.82,0.84,False,13.976858710013211,108.03999999999999,21.627897665852583,78.37210233414741
#30,56.12,0.59,False,11.234335588741644,164.16,32.86223325459423,67.13776674540577
#40,41.32,0.42,False,8.271609881090605,205.48,41.133843135684835,58.866156864315165
#50,36.46,0.297,False,7.298714817632222,241.94,48.43255795331706,51.56744204668294
#60,12.9,0.25,False,2.5823757857228653,254.84,51.014933739039925,48.985066260960075
#80,28.7,0.177,False,5.745285662809786,283.54,56.76021940184971,43.23978059815029
#100,15.54,0.149,False,3.1108619930335912,299.08000000000004,59.871081394883305,40.128918605116695
#200,48.44,0.074,False,9.696921167474077,347.52000000000004,69.56800256235738,30.43199743764262
Pan,152.02,,True,30.431997437642636,499.5400000000001,100.00000000000001,0.0
