Sample_Name,Source_File,Site,Height_Above_Bottom_Low_m,Height_Above_Bottom_High_m,Depth_Below_Ground_Shallow_m,Depth_Below_Ground_Deep_m,Recovered_Mass_g,Gravel_percent,Sand_percent,Passing_No200_percent,Pan_Mass_Percent,D10_mm,D20_mm,D25_mm,D30_mm,D50_mm,D60_mm,D75_mm,Cu,Cc,S0_Trask
Sample_1-9_1-2,Sample_1-9_1-2.csv,1*9,1.0,2.0,8.0,9.0,518.5,0.0,48.790742526518805,51.209257473481195,51.209257473481195,0.02425159533198525,0.03179134465656048,0.036399313229294496,0.0416751797659771,0.07161675694942128,0.0805755050453153,0.09542807272948163,3.322482663193908,0.8888154893865615,1.6191663948399246
Sample_1-9_3-4,Sample_1-9_3-4.csv,1*9,3.0,4.0,6.0,7.0,610.36,0.0,64.8305917818992,35.1694082181008,35.16940821810079,0.027438494327631926,0.04069572816040484,0.04956134655794988,0.06035835169124972,0.08702154902073413,0.09836345753446193,0.12153061839219857,3.5848708154297317,1.3498349863540564,1.5659262529042757
Sample_1-9_5-6,Sample_1-9_5-6.csv,1*9,5.0,6.0,4.0,5.0,595.87,0.0,64.87824525483747,35.121754745162534,35.121754745162534,0.027453172945461422,0.0407392813391035,0.04962765704581252,0.06045527223114687,0.08540916769510208,0.09532078607937829,0.11610917527860458,3.47212274037478,1.3966519791594585,1.52957713876399
Sample_1-9_7-8,Sample_1-9_7-8.csv,1*9,7.0,8.0,2.0,3.0,1025.74,0.1306373934915257,81.5274825979293,18.341880008579167,18.34188000857917,0.03939263808824595,0.0797219280571665,0.09269238165075296,0.10388201119927756,0.14846277819125733,0.1678810784789635,0.2178123606761574,4.261737386129926,1.6317885512425563,1.5329191173516747
Sample_1-9_9-10,Sample_1-9_9-10.csv,1*9,9.0,10.0,0.0,1.0,1228.02,0.9576391263985897,84.77223497988632,14.27012589371509,14.270125893715086,0.048873573759070366,0.13317622214622496,0.16441450328939355,0.20088445717316297,0.5707546178664716,0.759689943570337,1.1228153354686157,15.543981852347097,1.0868815017311702,2.6132689324342144
